,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
411,Dani Gómez,24,CF,RCD Espanyol Barcelona,Spain,2.00m
412,Dani Olmo,24,AM,RB Leipzig,Spain,40.00m
413,Dani Parejo,33,CM,Villarreal CF,Spain,7.00m
414,Dani Rodríguez,34,AM,RCD Mallorca,Spain,1.20m
415,Dani Vivian,23,CB,Athletic Bilbao,Spain,14.00m
416,Daniel Caligiuri,35,RW,FC Augsburg,Italy,600k
417,Daniel Carvajal,31,RB,Real Madrid,Spain,18.00m
418,Daniel Chacón,25,CF,Deportivo La Guaira,Venezuela,200k
419,Daniel Ciofani,37,CF,US Cremonese,Italy,200k
420,Daniel James,25,RW,Fulham FC,Wales,16.00m
421,Daniel Maldini,21,AM,Spezia Calcio,Italy,2.00m
422,Daniel-Kofi Kyereh,26,AM,SC Freiburg,Ghana,8.00m
423,Daniele Rugani,28,CB,Juventus FC,Italy,2.50m
424,Daniele Verde,26,RW,Spezia Calcio,Italy,4.00m
425,Danilho Doekhi,24,CB,1.FC Union Berlin,Netherlands,4.00m
426,Danilo,31,RB,Juventus FC,Brazil,12.00m
427,Danilo Cataldi,28,DM,SS Lazio,Italy,7.00m
428,Danilo Pereira,31,DM,Paris Saint-Germain,Portugal,12.00m
429,Danilo Soares,31,LB,VfL Bochum,Brazil,2.20m
430,Danny da Costa,29,RB,1.FSV Mainz 05,Germany,2.00m
431,Danny Ings,30,CF,West Ham United,England,16.00m
432,Danny Latza,33,CM,FC Schalke 04,Germany,600k
433,Danny Namaso,22,CF,FC Porto,Cameroon,3.00m
434,Danny Ward,29,GK,Leicester City,Wales,8.00m
435,Danny Welbeck,32,CF,Brighton & Hove Albion,England,8.00m
436,Dante,39,CB,OGC Nice,Brazil,700k
437,Dany Mota,24,CF,AC Monza,Portugal,5.50m
438,Darko Brasanac,31,CM,CA Osasuna,Serbia,2.00m
439,Darko Lazović,32,LM,Hellas Verona,Serbia,2.50m
440,Darwin Núñez,23,CF,Liverpool FC,Uruguay,70.00m
441,David Alaba,30,CB,Real Madrid,Austria,55.00m
442,David Carmo,23,CB,FC Porto,Portugal,20.00m
443,David Costa,22,AM,RC Lens,Portugal,10.00m
444,David de Gea,32,GK,Manchester United,Spain,15.00m
445,David García,29,CB,CA Osasuna,Spain,20.00m
446,David López,33,CB,Girona FC,Spain,2.00m
447,David Neres,25,RW,SL Benfica,Brazil,22.00m
448,David Okereke,25,CF,US Cremonese,Nigeria,4.30m
449,David Raum,24,LB,RB Leipzig,Germany,26.00m
450,David Raya,27,GK,Brentford FC,Spain,22.00m
451,David Silva,37,AM,Real Sociedad,Spain,4.00m
452,David Soria,29,GK,Getafe CF,Spain,10.00m
453,David Strelec,21,CF,Reggina 1914,Slovakia,1.30m
454,David Zima,22,CB,Torino FC,Czech Republic,5.50m
455,Davide Faraoni,31,RB,Hellas Verona,Italy,3.50m
456,Davide Frattesi,23,CM,US Sassuolo,Italy,22.00m
457,Davie Selke,28,CF,1. FC Köln,Germany,1.80m
458,Davinson Sánchez,26,CB,Tottenham Hotspur,Colombia,25.00m
459,Dayne St. Clair,25,GK,Minnesota United FC,Canada,1.50m
460,Dayot Upamecano,24,CB,Bayern Munich,France,60.00m
461,Dean Henderson,25,GK,Nottingham Forest,England,22.00m
462,Declan Rice,24,DM,West Ham United,England,80.00m
463,Dedryck Boyata,32,CB,Club Brugge KV,Belgium,3.00m
464,Deiver Machado,29,LB,RC Lens,Colombia,3.00m
465,Dejan Ljubicic,25,DM,1. FC Köln,Austria,10.00m
466,Dejan Lovren,33,CB,Olympique Lyon,Croatia,3.50m
467,Delano Burgzorg,24,LW,1.FSV Mainz 05,Netherlands,2.00m
468,Demarai Gray,26,LW,Everton FC,England,20.00m
469,Denis Genreau,23,AM,FC Toulouse,Australia,1.20m
470,Denis Huseinbasic,21,CM,1. FC Köln,Germany,2.00m
471,Denis Odoi,34,RB,Club Brugge KV,Ghana,600k
472,Deniz Undav,26,CF,Brighton & Hove Albion,Germany,6.00m
473,Dennis Geiger,24,CM,TSG 1899 Hoffenheim,Germany,9.00m
474,Dennis Praet,28,CM,Leicester City,Belgium,10.00m
475,Denso Kasius,20,RB,Rapid Vienna,Netherlands,2.00m
476,Denzel Dumfries,26,RM,Inter Milan,Netherlands,28.00m
477,Derry Scherhant,20,CF,Hertha BSC,Germany,300k
478,Désiré Doué,17,AM,Stade Rennais FC,France,15.00m
479,Destiny Udogie,20,LB,Udinese Calcio,Italy,22.00m
480,Diego Coppola,19,CB,Hellas Verona,Italy,3.00m
481,Diego Costa,34,CF,Wolverhampton Wanderers,Spain,3.50m
482,Diego González,35,CM,CA Boca Juniors,Argentina,150k
483,Diego Llorente,29,CB,AS Roma,Spain,12.00m
484,Diego López,41,GK,Rayo Vallecano,Spain,500k
485,Diego Maradona,-,AM,------,Argentina,-
486,Diego Palacios,23,LB,Los Angeles FC,Ecuador,4.00m
487,Diego Rico,30,LB,Real Sociedad,Spain,3.00m
488,Diego Valencia,23,CF,US Salernitana 1919,Chile,2.50m
489,Dimitri Foulquier,29,RB,Valencia CF,Guadeloupe,3.00m
490,Dimitri Liénard,35,LM,RC Strasbourg Alsace,France,600k
491,Dimitri Payet,35,AM,Olympique Marseille,France,3.00m
492,Dimitrios Nikolaou,24,CB,Spezia Calcio,Greece,3.80m
493,Diogo Costa,23,GK,FC Porto,Portugal,35.00m
494,Diogo Dalot,23,RB,Manchester United,Portugal,32.00m
495,Diogo Gonçalves,26,RW,FC Copenhagen,Portugal,5.00m
496,Diogo Jota,26,LW,Liverpool FC,Portugal,55.00m
497,Dion Lopy,21,DM,Stade Reims,Senegal,3.00m
498,Djed Spence,22,RB,Stade Rennais FC,England,13.00m
499,Djené,31,CB,Getafe CF,Togo,6.00m
500,Djibril Sow,26,CM,Eintracht Frankfurt,Switzerland,22.00m
501,Dodi Lukébakio,25,RW,Hertha BSC,Belgium,12.00m
502,Dodô,24,RB,ACF Fiorentina,Brazil,17.00m
503,Domagoj Bradaric,23,LB,US Salernitana 1919,Croatia,5.00m
504,Domagoj Vida,33,CB,AEK Athens,Croatia,2.00m
505,Domenico Berardi,28,RW,US Sassuolo,Italy,23.00m
506,Dominic Calvert-Lewin,25,CF,Everton FC,England,30.00m
507,Dominic Solanke,25,CF,AFC Bournemouth,England,18.00m
508,Dominick Drexler,32,AM,FC Schalke 04,Germany,900k
509,Dominik Kohr,29,CM,1.FSV Mainz 05,Germany,4.00m
510,Dominik Livakovic,28,GK,GNK Dinamo Zagreb,Croatia,14.00m
511,Dominik Szoboszlai,22,AM,RB Leipzig,Hungary,35.00m
512,Dominique Heintz,29,CB,VfL Bochum,Germany,2.50m
513,Donyell Malen,24,LW,Borussia Dortmund,Netherlands,20.00m
514,Douglas López,24,DM,CS Herediano,Costa Rica,275k
515,Douglas Luiz,24,CM,Aston Villa,Brazil,35.00m
516,Dries Mertens,35,SS,Galatasaray,Belgium,3.40m
517,Duccio Degli Innocenti,19,DM,FC Empoli,Italy,500k
518,Duje Caleta-Car,26,CB,Southampton FC,Croatia,14.00m
519,Dusan Tadić,34,LW,Ajax Amsterdam,Serbia,7.00m
520,Dušan Vlahović,23,CF,Juventus FC,Serbia,80.00m
521,Dwight McNeil,23,LW,Everton FC,England,18.00m
522,Dyego Sousa,33,CF,UD Almería,Portugal,1.00m
523,Dylan Bronn,27,CB,US Salernitana 1919,Tunisia,3.00m
524,Dylan Levitt,22,CM,Dundee United FC,Wales,850k
525,Eberechi Eze,24,AM,Crystal Palace,England,30.00m
526,Eddie Nketiah,23,CF,Arsenal FC,England,18.00m
527,Eden Hazard,32,LW,Real Madrid,Belgium,7.50m
528,Éder Balanta,29,DM,FC Schalke 04,Colombia,3.00m
529,Éder Militão,25,CB,Real Madrid,Brazil,60.00m
530,Ederson,29,GK,Manchester City,Brazil,45.00m
531,Éderson,29,GK,Manchester City,Brazil,45.00m
532,Édgar Badía,31,GK,Elche CF,Spain,4.00m
533,Edgar González,25,CB,Real Betis Balompié,Spain,10.00m
534,Edimilson Fernandes,26,CM,1.FSV Mainz 05,Switzerland,3.00m
535,Edin Dzeko,36,CF,Inter Milan,Bosnia-Herzegovina,4.00m
536,Edinson Cavani,36,CF,Valencia CF,Uruguay,5.00m
537,Edmond Tapsoba,24,CB,Bayer 04 Leverkusen,Burkina Faso,30.00m
538,Edoardo Bove,20,CM,AS Roma,Italy,1.50m
539,Edon Zhegrova,23,RW,LOSC Lille,Kosovo,5.00m
540,Edouard Mendy,30,GK,Chelsea FC,Senegal,25.00m
541,Edu Expósito,26,CM,RCD Espanyol Barcelona,Spain,6.00m
542,Eduard Sobol,27,LB,RC Strasbourg Alsace,Ukraine,3.00m
543,Eduardo Camavinga,20,CM,Real Madrid,France,50.00m
544,Eduardo Quaresma,20,CB,TSG 1899 Hoffenheim,Portugal,4.00m
545,Ehsan Hajsafi,33,LB,AEK Athens,Iran,800k
546,Eiji Kawashima,39,GK,RC Strasbourg Alsace,Japan,200k
547,El Bilal Touré,21,CF,UD Almería,Mali,10.00m
548,El Chadaille Bitshiabu,17,CB,Paris Saint-Germain,France,2.00m
549,Elbasan Rashani,29,LW,Clermont Foot 63,Kosovo,2.50m
550,Eldor Shomurodov,27,CF,Spezia Calcio,Uzbekistan,7.00m
551,Eliot Matazo,21,CM,AS Monaco,Belgium,7.00m
552,Eljif Elmas,23,CM,SSC Napoli,North Macedonia,23.00m
553,Elliot Anderson,20,AM,Newcastle United,Scotland,3.50m
554,Elseid Hysaj,29,RB,SS Lazio,Albania,4.00m
555,Elvis Rexhbecaj,25,CM,FC Augsburg,Germany,3.50m
556,Elye Wahi,20,CF,Montpellier HSC,France,18.00m
557,Emanuel Aiwu,22,CB,US Cremonese,Austria,3.50m
558,Emanuel Vignato,22,RW,FC Empoli,Italy,4.50m
559,Emanuele Valeri,24,LB,US Cremonese,Italy,2.20m
560,Emerson Royal,24,RB,Tottenham Hotspur,Brazil,30.00m
561,Emil Audero,26,GK,UC Sampdoria,Italy,6.00m
562,Emil Bohinen,23,CM,US Salernitana 1919,Norway,4.00m
563,Emil Forsberg,31,LW,RB Leipzig,Sweden,9.00m
564,Emil Holm,22,RB,Spezia Calcio,Sweden,2.50m
565,Emil Konradsen Ceide,21,LW,US Sassuolo,Norway,2.50m
566,Emiliano Buendía,26,RW,Aston Villa,Argentina,28.00m
567,Emiliano Martínez,30,GK,Aston Villa,Argentina,28.00m
568,Emmanuel Agbadou,25,CB,Stade Reims,Cote d'Ivoire,3.00m
569,Emmanuel Dennis,25,CF,Nottingham Forest,Nigeria,12.00m
570,Emmanuel Gyasi,29,LW,Spezia Calcio,Ghana,2.50m
571,Emre Can,29,DM,Borussia Dortmund,Germany,14.00m
572,Enes Ünal,25,CF,Getafe CF,Turkey,25.00m
573,Enner Valencia,33,CF,Fenerbahce,Ecuador,3.00m
574,Enzo Ebosse,23,CB,Udinese Calcio,Cameroon,4.50m
575,Enzo Fernández,22,CM,Chelsea FC,Argentina,55.00m
576,Enzo Le Fée,23,AM,FC Lorient,France,12.00m
577,Enzo Millot,20,CM,VfB Stuttgart,France,2.50m
578,Enzo Roco,30,CB,Elche CF,Chile,2.00m
579,Enzo Tchato,20,CB,Montpellier HSC,Cameroon,2.50m
580,Eray Cömert,25,CB,Valencia CF,Switzerland,4.00m
581,Eren Dinkci,21,CF,SV Werder Bremen,Germany,700k
582,Erhan Masovic,24,CB,VfL Bochum,Serbia,4.00m
583,Eric Bailly,28,CB,Olympique Marseille,Cote d'Ivoire,8.00m
584,Eric Dier,29,CB,Tottenham Hotspur,England,30.00m
585,Eric García,22,CB,FC Barcelona,Spain,18.00m
586,Eric Martel,20,DM,1. FC Köln,Germany,4.00m
587,Eric Maxim Choupo-Moting,33,CF,Bayern Munich,Cameroon,6.00m
588,Érick Gutiérrez,27,CM,PSV Eindhoven,Mexico,7.00m
589,Erik Botheim,23,CF,US Salernitana 1919,Norway,3.80m
590,Erik Lamela,30,RW,Sevilla FC,Argentina,14.00m
591,Erik Palmer-Brown,25,CB,ESTAC Troyes,United States,3.00m
592,Erling Haaland,22,CF,Manchester City,Norway,170.00m
593,Ermedin Demirovic,24,CF,FC Augsburg,Bosnia-Herzegovina,9.00m
594,Ethan Pinnock,29,CB,Brentford FC,Jamaica,12.00m
595,Étienne Capoue,34,DM,Villarreal CF,France,3.00m
596,Evan Ndicka,23,CB,Eintracht Frankfurt,France,32.00m
597,Evanilson,23,CF,FC Porto,Brazil,22.00m
598,Evann Guessand,21,CF,FC Nantes,France,5.00m
599,Exequiel Palacios,24,CM,Bayer 04 Leverkusen,Argentina,15.00m
600,Ez Abde,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена
601,Ezequiel Ponce,25,CF,Elche CF,Argentina,4.00m
602,Ezri Konsa,25,CB,Aston Villa,England,22.00m
603,Fabián Ruiz,26,CM,Paris Saint-Germain,Spain,45.00m
604,Fabian Schär,31,CB,Newcastle United,Switzerland,10.00m
605,Fabiano Parisi,22,LB,FC Empoli,Italy,8.00m
606,Fabien Centonze,27,RB,FC Nantes,France,5.00m
607,Fabinho,29,DM,Liverpool FC,Brazil,55.00m
608,Fábio Cardoso,28,CB,FC Porto,Portugal,3.00m
609,Fábio Carvalho,20,AM,Liverpool FC,Portugal,20.00m
610,Fabio Chiarodia,17,CB,SV Werder Bremen,Italy,1.00m
611,Fabio Depaoli,25,RB,Hellas Verona,Italy,3.00m
612,Fabio Miretti,19,CM,Juventus FC,Italy,15.00m
613,Fabio Quagliarella,40,CF,UC Sampdoria,Italy,1.00m
614,Fábio Vieira,22,AM,Arsenal FC,Portugal,30.00m
615,Fabrizio Angileri,28,LB,Getafe CF,Argentina,3.00m
616,Facundo Medina,23,CB,RC Lens,Argentina,15.00m
617,Faitout Maouassa,24,LB,Montpellier HSC,France,5.00m
618,Falaye Sacko,27,RB,Montpellier HSC,Mali,4.00m
619,Fali,29,CB,Cádiz CF,Spain,2.50m
620,Farès Chaïbi,20,AM,FC Toulouse,France,4.00m
621,Farid El Melali,25,LW,Angers SCO,Algeria,700k
622,Faride Alidou,21,LW,Eintracht Frankfurt,Germany,2.50m
623,Fede San Emeterio,25,CM,Cádiz CF,Spain,2.00m
624,Federico Baschirotto,26,CB,US Lecce,Italy,2.20m
625,Federico Bonazzoli,25,CF,US Salernitana 1919,Italy,5.00m
626,Federico Ceccherini,30,CB,Hellas Verona,Italy,3.00m
627,Federico Di Francesco,28,LW,US Lecce,Italy,1.50m
628,Federico Dimarco,25,LB,Inter Milan,Italy,25.00m
629,Federico Fazio,35,CB,US Salernitana 1919,Argentina,600k
630,Federico Fernández,34,CB,Al-Duhail SC,Argentina,1.00m
631,Federico Valverde,24,CM,Real Madrid,Uruguay,100.00m
632,Felipe Anderson,29,RW,SS Lazio,Brazil,15.00m
633,Felix Afena-Gyan,20,CF,US Cremonese,Ghana,5.50m
634,Felix Agu,23,RB,SV Werder Bremen,Germany,1.50m
635,Felix Nmecha,22,AM,VfL Wolfsburg,Germany,3.00m
636,Felix Passlack,24,RB,Borussia Dortmund,Germany,1.50m
637,Felix Uduokhai,25,CB,FC Augsburg,Germany,10.00m
638,Ferjani Sassi,30,CM,Al-Duhail SC,Tunisia,1.75m
639,Ferland Mendy,27,LB,Real Madrid,France,40.00m
640,Fernando Calero,27,CB,RCD Espanyol Barcelona,Spain,2.00m
641,Fernando Martínez,39,CM,Клуба нет,Argentina,-
642,Fernando Muslera,36,GK,Galatasaray,Uruguay,1.70m
643,Fernando Pacheco,30,GK,RCD Espanyol Barcelona,Spain,3.00m
644,Ferran Jutglà,24,CF,Club Brugge KV,Spain,14.00m
645,Ferran Torres,22,LW,FC Barcelona,Spain,35.00m
646,Fidel,46,RB,Клуба нет,Brazil,-
647,Fikayo Tomori,25,CB,AC Milan,England,50.00m
648,Filip Djuricic,31,AM,UC Sampdoria,Serbia,2.50m
649,Filip Kostic,30,LM,Juventus FC,Serbia,24.00m
650,Filip Uremovic,26,CB,Hertha BSC,Croatia,4.00m
651,Filippo Bandinelli,27,CM,FC Empoli,Italy,3.50m
652,Filippo Ranocchia,21,CM,AC Monza,Italy,1.80m
653,Finn Ole Becker,22,CM,TSG 1899 Hoffenheim,Germany,2.00m
654,Firas Al-Buraikan,22,CF,Al-Fateh,Saudi Arabia,1.80m
655,Flavien Tait,30,CM,Stade Rennais FC,France,9.00m
656,Flavius Daniliuc,21,CB,US Salernitana 1919,Austria,8.00m
657,Florent Mollet,31,AM,FC Nantes,France,2.50m
658,Florent Ogier,33,CB,Clermont Foot 63,France,500k
659,Florentino,23,DM,SL Benfica,Portugal,15.00m
660,Florian Dietz,24,CF,1. FC Köln,Germany,1.00m
661,Florian Flick,22,DM,1.FC Nuremberg,Germany,2.00m
662,Florian Kainz,30,LW,1. FC Köln,Austria,4.00m
663,Florian Lejeune,31,CB,Rayo Vallecano,France,3.00m
664,Florian Müller,25,GK,VfB Stuttgart,Germany,3.00m
665,Florian Niederlechner,32,CF,Hertha BSC,Germany,2.20m
666,Florian Sotoca,32,CF,RC Lens,France,4.00m
667,Florian Tardieu,30,CM,ESTAC Troyes,France,3.00m
668,Flynn Downes,24,CM,West Ham United,England,8.00m
669,Fodé Ballo-Touré,26,LB,AC Milan,Senegal,3.50m
670,Folarin Balogun,21,CF,Stade Reims,England,14.00m
671,Formose Mendy,22,CB,Amiens SC,Senegal,2.50m
672,Fran Beltrán,24,CM,Celta de Vigo,Spain,15.00m
673,Fran García,23,LB,Rayo Vallecano,Spain,8.00m
674,Fran Karacic,26,RB,Brescia Calcio,Australia,1.20m
675,Francesco Acerbi,35,CB,Inter Milan,Italy,4.00m
676,Francesco Caputo,35,CF,FC Empoli,Italy,1.50m
677,Francis Coquelin,31,DM,Villarreal CF,France,5.00m
678,Francisco Portillo,32,RW,UD Almería,Spain,1.50m
679,Franck Honorat,26,RW,Stade Brestois 29,France,9.00m
680,Franck Kessié,26,CM,FC Barcelona,Cote d'Ivoire,35.00m
681,Franco Cervi,28,LW,Celta de Vigo,Argentina,3.00m
682,Franco Russo,28,CB,Ludogorets Razgrad,Argentina,1.00m
683,François-Joseph Sollacaro,28,GK,AC Ajaccio,France,300k
684,Frank Onyeka,25,CM,Brentford FC,Nigeria,9.00m
685,Fred,26,DM,Leicester City,Nigeria,40.00m
686,Frederik Rönnow,30,GK,1.FC Union Berlin,Denmark,3.50m
687,Fredrik Aursnes,27,DM,SL Benfica,Norway,13.00m
688,Fredrik Jensen,25,AM,FC Augsburg,Finland,2.50m
689,Frenkie de Jong,25,CM,FC Barcelona,Netherlands,50.00m
690,Gabriel Jesus,25,CF,Arsenal FC,Brazil,75.00m
691,Gabriel Magalhães,25,CB,Arsenal FC,Brazil,40.00m
692,Gabriel Martinelli,21,LW,Arsenal FC,Brazil,60.00m
693,Gabriel Paulista,32,CB,Valencia CF,Brazil,4.00m
694,Gabriel Strefezza,25,RW,US Lecce,Brazil,8.50m
695,Gabriel Veron,20,LW,FC Porto,Brazil,12.00m
696,Gaëtan Laborde,28,CF,OGC Nice,France,14.00m
697,Gaëtan Perrin,26,RM,AJ Auxerre,France,1.20m
698,Gaku Shibasaki,30,CM,CD Leganés,Japan,1.00m
699,Galeno,25,LW,FC Porto,Brazil,15.00m
700,Gareth Bale,33,RW,Клуба нет,Wales,-
701,Gary Medel,35,DM,Bologna FC 1909,Chile,1.00m
702,Gastón Álvarez,22,CB,Getafe CF,Uruguay,5.00m
703,Gauthier Gallon,29,GK,ESTAC Troyes,France,2.00m
704,Gauthier Hein,26,RW,AJ Auxerre,France,2.50m
705,Gavi,18,CM,FC Barcelona,Spain,90.00m
706,Gavin Bazunu,21,GK,Southampton FC,Ireland,15.00m
707,Gédéon Kalulu,25,RB,FC Lorient,DR Congo,4.00m
708,Genki Haraguchi,31,AM,VfB Stuttgart,Japan,2.00m
709,Geoffrey Kondogbia,30,DM,Atlético de Madrid,Central African Republic,20.00m
710,Georginio Rutter,20,CF,Leeds United,France,16.00m
711,Georgios Kyriakopoulos,27,LB,Bologna FC 1909,Greece,5.00m
712,Gerard Deulofeu,28,CF,Udinese Calcio,Spain,16.00m
713,Gerard Gumbau,28,DM,Elche CF,Spain,3.00m
714,Gerard Piqué,36,CB,Клуба нет,Spain,-
715,Gerard Yepes,20,DM,UC Sampdoria,Spain,500k
716,Gerardo Arteaga,24,LB,KRC Genk,Mexico,5.00m
717,Germán Pezzella,31,CB,Real Betis Balompié,Argentina,5.00m
718,Gerónimo Rulli,30,GK,Ajax Amsterdam,Argentina,10.00m
719,Gerrit Holtmann,27,LW,VfL Bochum,Philippines,4.50m
720,Gerson,25,CM,CR Flamengo,Brazil,18.00m
721,Gerzino Nyamsi,26,CB,RC Strasbourg Alsace,France,6.50m
722,Giacomo Bonaventura,33,CM,ACF Fiorentina,Italy,2.50m
723,Giacomo Quagliata,23,LB,US Cremonese,Italy,2.00m
724,Giacomo Raspadori,23,SS,SSC Napoli,Italy,35.00m
725,Gian Marco Ferrari,30,CB,US Sassuolo,Italy,5.00m
726,Giangiacomo Magnani,27,CB,Hellas Verona,Italy,2.80m
727,Gianluca Caprari,29,SS,AC Monza,Italy,9.00m
728,Gianluca Gaetano,22,AM,SSC Napoli,Italy,4.50m
729,Gianluca Mancini,26,CB,AS Roma,Italy,18.00m
730,Gianluca Scamacca,24,CF,West Ham United,Italy,30.00m
731,Gianluigi Donnarumma,24,GK,Paris Saint-Germain,Italy,50.00m
732,Gideon Mensah,24,LB,AJ Auxerre,Ghana,2.00m
733,Gilberto,46,DM,Клуба нет,Brazil,-
734,Giorgi Mamardashvili,22,GK,Valencia CF,Georgia,25.00m
735,Giorgio Scalvini,19,CB,Atalanta BC,Italy,20.00m
736,Giovani Lo Celso,26,CM,Villarreal CF,Argentina,22.00m
737,Giovanni Di Lorenzo,29,RB,SSC Napoli,Italy,25.00m
738,Giovanni González,28,RB,RCD Mallorca,Uruguay,2.00m
739,Giovanni Reyna,20,AM,Borussia Dortmund,United States,35.00m
740,Giovanni Simeone,27,CF,SSC Napoli,Argentina,17.00m
741,Giulian Biancone,22,RB,Nottingham Forest,France,7.00m
742,Giulio Donati,33,RB,AC Monza,Italy,500k
743,Giulio Maggiore,24,CM,US Salernitana 1919,Italy,7.50m
744,Giuseppe Pezzella,25,LB,US Lecce,Italy,3.00m
745,Gonçalo Borges,21,RW,FC Porto B,Portugal,2.00m
746,Gonçalo Paciência,28,CF,Celta de Vigo,Portugal,3.00m
747,Gonçalo Ramos,21,CF,SL Benfica,Portugal,30.00m
748,Gonzalo Escalante,29,CM,Cádiz CF,Argentina,2.00m
749,Gonzalo Melero,29,CM,UD Almería,Spain,4.00m
750,Gonzalo Montiel,26,RB,Sevilla FC,Argentina,12.00m
751,Gonzalo Plata,22,RW,Real Valladolid CF,Ecuador,5.00m
752,Gonzalo Verdú,34,CB,Elche CF,Spain,700k
753,Gonzalo Villar,24,CM,Getafe CF,Spain,4.50m
754,Granit Xhaka,30,CM,Arsenal FC,Switzerland,28.00m
755,Gregor Kobel,25,GK,Borussia Dortmund,Switzerland,25.00m
756,Grejohn Kyei,27,CF,Clermont Foot 63,France,1.50m
757,Grigoris Kastanos,25,CM,US Salernitana 1919,Cyprus,1.30m
758,Grischa Prömel,28,CM,TSG 1899 Hoffenheim,Germany,7.50m
759,Grzegorz Krychowiak,33,DM,Al-Shabab Club (Riyadh),Poland,6.00m
760,Gue-sung Cho,25,CF,Jeonbuk Hyundai Motors,"Korea, South",2.50m
761,Guglielmo Vicario,26,GK,FC Empoli,Italy,12.00m
762,Guido Rodríguez,28,DM,Real Betis Balompié,Argentina,28.00m
763,Guillermo Maripán,28,CB,AS Monaco,Chile,13.00m
764,Guillermo Ochoa,37,GK,US Salernitana 1919,Mexico,1.20m
765,Habib Diarra,19,DM,RC Strasbourg Alsace,France,3.00m
766,Hakan Calhanoglu,29,CM,Inter Milan,Turkey,35.00m
767,Hakim Ziyech,29,RW,Chelsea FC,Morocco,20.00m
768,Hamari Traoré,31,RB,Stade Rennais FC,Mali,10.00m
769,Hamed Junior Traorè,23,AM,AFC Bournemouth,Cote d'Ivoire,22.00m
770,Hamza Sakhi,26,AM,AJ Auxerre,Morocco,2.00m
771,Hannibal Mejbri,20,AM,Birmingham City,Tunisia,6.00m
772,Hans Hateboer,29,RB,Atalanta BC,Netherlands,10.00m
773,Hans Vanaken,30,AM,Club Brugge KV,Belgium,15.00m
774,Haris Belkebla,29,CM,Stade Brestois 29,Algeria,4.00m
775,Haris Seferovic,31,CF,Celta de Vigo,Switzerland,6.00m
776,Harrison Reed,28,CM,Fulham FC,England,15.00m
777,Harry Kane,29,CF,Tottenham Hotspur,England,90.00m
778,Harry Maguire,29,CB,Manchester United,England,30.00m
779,Harry Toffolo,27,LB,Nottingham Forest,England,3.50m
780,Harry Wilson,25,RW,Fulham FC,Wales,17.00m
781,Harvey Barnes,25,LW,Leicester City,England,32.00m
782,Harvey Elliott,19,AM,Liverpool FC,England,35.00m
783,Hattan Bahebri,30,RW,Al-Shabab Club (Riyadh),Saudi Arabia,900k
784,Héctor Bellerín,27,RB,Sporting CP,Spain,15.00m
785,Héctor Moreno,35,CB,CF Monterrey,Mexico,1.50m
786,Hee-chan Hwang,27,CF,Wolverhampton Wanderers,"Korea, South",12.00m
787,Helibelton Palacios,29,RB,Elche CF,Colombia,1.20m
788,Henning Matriciani,22,CB,FC Schalke 04,Germany,600k
789,Henrikh Mkhitaryan,34,AM,Inter Milan,Armenia,6.00m
790,Henrique Silva,39,AM,Клуба нет,Brazil,-
791,Heung-min Son,30,LW,Tottenham Hotspur,"Korea, South",70.00m
792,Hicham Boudaoui,23,CM,OGC Nice,Algeria,5.00m
793,Hidemasa Morita,27,DM,Sporting CP,Japan,7.00m
794,Himad Abdelli,23,AM,Angers SCO,France,1.20m
795,Hiroki Ito,23,CB,VfB Stuttgart,Japan,5.50m
796,Hirving Lozano,27,RW,SSC Napoli,Mexico,28.00m
797,Hossein Hosseini,30,GK,Esteghlal FC,Iran,525k
798,Houboulang Mendes,24,RB,UD Almería,Guinea-Bissau,3.00m
799,Houssem Aouar,24,CM,Olympique Lyon,France,20.00m
800,Hrvoje Smolcic,22,CB,Eintracht Frankfurt,Croatia,3.00m
801,Hugo Duro,23,CF,Valencia CF,Spain,7.00m
802,Hugo Ekitiké,20,CF,Paris Saint-Germain,France,25.00m
803,Hugo Guillamón,23,DM,Valencia CF,Spain,25.00m
804,Hugo Lloris,36,GK,Tottenham Hotspur,France,7.00m
805,Hugo Magnetti,24,CM,Stade Brestois 29,France,1.80m
806,Hugo Mallo,31,RB,Celta de Vigo,Spain,3.50m
807,Hugo Novoa,20,RW,FC Basel 1893,Spain,5.00m
808,Hyun-jun Yang,20,RW,Gangwon FC,"Korea, South",700k
809,Iago,31,CM,Liverpool FC,Spain,18.00m
810,Iago Aspas,35,CF,Celta de Vigo,Spain,7.00m
811,Ibrahim Amadou,29,DM,Angers SCO,France,1.80m
812,Ibrahima Diallo,23,DM,Southampton FC,France,8.00m
813,Ibrahima Konaté,23,CB,Liverpool FC,France,35.00m
814,Ibrahima Koné,23,CF,FC Lorient,Mali,4.00m
815,Ibrahima Sissoko,25,DM,RC Strasbourg Alsace,France,8.00m
816,Iddrisu Baba,27,CM,RCD Mallorca,Ghana,3.00m
817,Idrissa Gueye,33,CM,Everton FC,Senegal,8.00m
818,Ignacio Pussetto,27,RW,UC Sampdoria,Argentina,2.50m
819,Ignatius Ganago,24,CF,FC Nantes,Cameroon,4.00m
820,Igor Zubeldia,25,CB,Real Sociedad,Spain,15.00m
821,Iké Ugbo,24,CF,ESTAC Troyes,Canada,4.00m
822,Ilaix Moriba,20,CM,Valencia CF,Guinea,7.00m
